t,label,cpu_pct_sum,rss_mb_sum,n_procs,sweep_pct,fixed_predicted_gap_s
1788965309.6702583,serverless_predictive_fixed:cyclical:1,0.0,36.59,1,-50,4.5
1788965309.8725078,serverless_predictive_fixed:cyclical:1,0.0,36.59,1,-50,4.5
1788965310.0748117,serverless_predictive_fixed:cyclical:1,0.0,36.59,1,-50,4.5
1788965310.2769248,serverless_predictive_fixed:cyclical:1,4.9,36.59,1,-50,4.5
1788965310.4788895,serverless_predictive_fixed:cyclical:1,0.0,36.59,1,-50,4.5
1788965310.6805558,serverless_predictive_fixed:cyclical:1,0.0,36.59,1,-50,4.5
1788965310.8823612,serverless_predictive_fixed:cyclical:1,0.0,36.59,1,-50,4.5
1788965311.0840228,serverless_predictive_fixed:cyclical:1,0.0,36.59,1,-50,4.5
1788965311.2858224,serverless_predictive_fixed:cyclical:1,0.0,36.59,1,-50,4.5
1788965311.4907947,serverless_predictive_fixed:cyclical:1,9.8,117.05,4,-50,4.5
1788965311.6926243,serverless_predictive_fixed:cyclical:1,203.3,145.69,4,-50,4.5
1788965311.8987725,serverless_predictive_fixed:cyclical:1,199.0,163.02,4,-50,4.5
1788965312.1007524,serverless_predictive_fixed:cyclical:1,24.9,164.67,4,-50,4.5
1788965312.3029792,serverless_predictive_fixed:cyclical:1,0.0,164.67,4,-50,4.5
1788965312.5053592,serverless_predictive_fixed:cyclical:1,0.0,164.67,4,-50,4.5
1788965312.7072206,serverless_predictive_fixed:cyclical:1,0.0,164.67,4,-50,4.5
1788965312.9092171,serverless_predictive_fixed:cyclical:1,0.0,164.67,4,-50,4.5
1788965313.111164,serverless_predictive_fixed:cyclical:1,4.9,164.67,4,-50,4.5
1788965313.314287,serverless_predictive_fixed:cyclical:1,0.0,164.67,4,-50,4.5
1788965313.5163515,serverless_predictive_fixed:cyclical:1,0.0,164.67,4,-50,4.5
1788965313.7182844,serverless_predictive_fixed:cyclical:1,0.0,164.67,4,-50,4.5
1788965313.920696,serverless_predictive_fixed:cyclical:1,0.0,164.67,4,-50,4.5
1788965314.122979,serverless_predictive_fixed:cyclical:1,0.0,164.67,4,-50,4.5
1788965314.325009,serverless_predictive_fixed:cyclical:1,0.0,164.67,4,-50,4.5
1788965314.5270126,serverless_predictive_fixed:cyclical:1,0.0,164.67,4,-50,4.5
1788965314.728916,serverless_predictive_fixed:cyclical:1,0.0,164.67,4,-50,4.5
1788965314.9310114,serverless_predictive_fixed:cyclical:1,0.0,164.67,4,-50,4.5
1788965315.1329372,serverless_predictive_fixed:cyclical:1,0.0,164.67,4,-50,4.5
1788965315.3348284,serverless_predictive_fixed:cyclical:1,0.0,164.67,4,-50,4.5
1788965315.536751,serverless_predictive_fixed:cyclical:1,5.0,164.67,4,-50,4.5
1788965315.738748,serverless_predictive_fixed:cyclical:1,0.0,164.67,4,-50,4.5
1788965315.9407454,serverless_predictive_fixed:cyclical:1,5.0,164.67,4,-50,4.5
1788965316.1428854,serverless_predictive_fixed:cyclical:1,0.0,164.67,4,-50,4.5
1788965316.3450453,serverless_predictive_fixed:cyclical:1,4.9,164.67,4,-50,4.5
1788965316.5471325,serverless_predictive_fixed:cyclical:1,0.0,164.67,4,-50,4.5
1788965316.7494533,serverless_predictive_fixed:cyclical:1,0.0,164.67,4,-50,4.5
