t,label,cpu_pct_sum,rss_mb_sum,n_procs,run_label
1788969882.388325,container:bimodal:2,0.0,164.01,4,container
1788969882.590622,container:bimodal:2,0.0,164.01,4,container
1788969882.792379,container:bimodal:2,5.0,164.01,4,container
1788969882.9941158,container:bimodal:2,0.0,164.01,4,container
1788969883.1967056,container:bimodal:2,0.0,164.01,4,container
1788969883.398461,container:bimodal:2,0.0,164.01,4,container
1788969883.6021185,container:bimodal:2,14.7,164.44,4,container
1788969883.803883,container:bimodal:2,0.0,164.44,4,container
1788969884.005912,container:bimodal:2,0.0,164.44,4,container
1788969884.2076876,container:bimodal:2,0.0,164.44,4,container
1788969884.409657,container:bimodal:2,0.0,164.44,4,container
1788969884.6116388,container:bimodal:2,0.0,164.44,4,container
1788969884.81363,container:bimodal:2,5.0,164.44,4,container
1788969885.0155327,container:bimodal:2,0.0,164.44,4,container
1788969885.2179658,container:bimodal:2,4.9,164.44,4,container
1788969885.4198616,container:bimodal:2,0.0,164.44,4,container
1788969885.6219811,container:bimodal:2,0.0,164.44,4,container
1788969885.823893,container:bimodal:2,0.0,164.44,4,container
1788969886.026551,container:bimodal:2,0.0,164.44,4,container
1788969886.228458,container:bimodal:2,0.0,164.44,4,container
1788969886.430295,container:bimodal:2,0.0,164.44,4,container
1788969886.6339068,container:bimodal:2,4.9,164.44,4,container
1788969886.8360295,container:bimodal:2,0.0,164.44,4,container
1788969887.03808,container:bimodal:2,0.0,164.44,4,container
1788969887.2401285,container:bimodal:2,0.0,164.44,4,container
1788969887.4422047,container:bimodal:2,0.0,164.44,4,container
1788969887.6440146,container:bimodal:2,0.0,164.44,4,container
1788969887.8464444,container:bimodal:2,0.0,164.44,4,container
1788969888.0482597,container:bimodal:2,0.0,164.44,4,container
1788969888.2500472,container:bimodal:2,0.0,164.44,4,container
1788969888.451984,container:bimodal:2,0.0,164.44,4,container
1788969888.6537566,container:bimodal:2,0.0,164.44,4,container
1788969888.8560925,container:bimodal:2,0.0,164.44,4,container
1788969889.057906,container:bimodal:2,0.0,164.44,4,container
1788969889.2600543,container:bimodal:2,0.0,164.44,4,container
1788969889.4620166,container:bimodal:2,0.0,164.44,4,container
1788969889.6643803,container:bimodal:2,0.0,164.44,4,container
